filepath,steering
dataset\2019-4-11-23-36-54 627087.jpeg,0.0
dataset\2019-4-11-23-36-54 662045.jpeg,0.0
dataset\2019-4-11-23-36-54 693926.jpeg,0.0
dataset\2019-4-11-23-36-54 858990.jpeg,0.0
dataset\2019-4-11-23-36-54 892480.jpeg,0.0
dataset\2019-4-11-23-36-54 925098.jpeg,0.0
dataset\2019-4-11-23-36-54 958090.jpeg,0.0
dataset\2019-4-11-23-36-54 996831.jpeg,0.0
dataset\2019-4-11-23-36-55 26381.jpeg,0.0
dataset\2019-4-11-23-36-55 63860.jpeg,0.0
dataset\2019-4-11-23-36-55 91685.jpeg,0.0
dataset\2019-4-11-23-36-55 125506.jpeg,0.0
dataset\2019-4-11-23-36-55 164882.jpeg,0.0
dataset\2019-4-11-23-36-55 193101.jpeg,0.0
dataset\2019-4-11-23-36-55 226371.jpeg,0.0
dataset\2019-4-11-23-36-55 262898.jpeg,0.0
dataset\2019-4-11-23-36-55 292729.jpeg,0.0
dataset\2019-4-11-23-36-55 329086.jpeg,0.0
dataset\2019-4-11-23-36-55 358563.jpeg,0.0
dataset\2019-4-11-23-36-55 394701.jpeg,0.0
dataset\2019-4-11-23-36-55 427051.jpeg,0.0
dataset\2019-4-11-23-36-55 457627.jpeg,0.0
dataset\2019-4-11-23-36-55 494820.jpeg,0.0
dataset\2019-4-11-23-36-55 525792.jpeg,0.0
dataset\2019-4-11-23-36-55 558593.jpeg,0.0
dataset\2019-4-11-23-36-55 593579.jpeg,0.0
dataset\2019-4-11-23-36-55 626816.jpeg,0.0
dataset\2019-4-11-23-36-55 662131.jpeg,0.0
dataset\2019-4-11-23-36-55 690626.jpeg,0.0
dataset\2019-4-11-23-36-55 723884.jpeg,0.0
dataset\2019-4-11-23-36-55 761978.jpeg,0.0
dataset\2019-4-11-23-36-55 790405.jpeg,0.0
dataset\2019-4-11-23-36-55 827776.jpeg,0.0
dataset\2019-4-11-23-36-55 856225.jpeg,0.0
dataset\2019-4-11-23-36-55 889533.jpeg,0.0
dataset\2019-4-11-23-36-55 923620.jpeg,0.0
dataset\2019-4-11-23-36-55 964915.jpeg,-0.019999999552965164
dataset\2019-4-11-23-36-55 994133.jpeg,-0.07999999821186066
dataset\2019-4-11-23-36-56 57544.jpeg,-0.20000000298023224
dataset\2019-4-11-23-36-56 25744.jpeg,-0.14000000059604645
dataset\2019-4-11-23-36-56 94592.jpeg,-0.25999999046325684
dataset\2019-4-11-23-36-56 123551.jpeg,-0.30000001192092896
dataset\2019-4-11-23-36-56 161432.jpeg,-0.36000001430511475
dataset\2019-4-11-23-36-56 191859.jpeg,0.0
dataset\2019-4-11-23-36-56 225885.jpeg,0.0
dataset\2019-4-11-23-36-56 256607.jpeg,0.0
dataset\2019-4-11-23-36-56 294673.jpeg,0.0
dataset\2019-4-11-23-36-56 326583.jpeg,0.0
dataset\2019-4-11-23-36-56 357563.jpeg,0.0
dataset\2019-4-11-23-36-56 391747.jpeg,0.0
dataset\2019-4-11-23-36-56 427719.jpeg,0.0
dataset\2019-4-11-23-36-56 461698.jpeg,0.0
dataset\2019-4-11-23-36-56 524749.jpeg,-0.03999999910593033
dataset\2019-4-11-23-36-56 497611.jpeg,0.0
dataset\2019-4-11-23-36-56 557131.jpeg,-0.10000000149011612
dataset\2019-4-11-23-36-56 590410.jpeg,-0.14000000059604645
dataset\2019-4-11-23-36-56 630545.jpeg,-0.20000000298023224
dataset\2019-4-11-23-36-56 664263.jpeg,-0.25999999046325684
dataset\2019-4-11-23-36-56 725428.jpeg,-0.3799999952316284
dataset\2019-4-11-23-36-56 690769.jpeg,-0.3199999928474426
dataset\2019-4-11-23-36-56 757028.jpeg,-0.41999998688697815
dataset\2019-4-11-23-36-56 791854.jpeg,-0.47999998927116394
dataset\2019-4-11-23-36-56 829199.jpeg,-0.5400000214576721
dataset\2019-4-11-23-36-56 859362.jpeg,-0.6000000238418579
dataset\2019-4-11-23-36-56 890571.jpeg,-0.6600000262260437
dataset\2019-4-11-23-36-56 924189.jpeg,-0.699999988079071
dataset\2019-4-11-23-36-56 995327.jpeg,-0.8199999928474426
dataset\2019-4-11-23-36-56 958299.jpeg,-0.7599999904632568
dataset\2019-4-11-23-36-57 24643.jpeg,-0.8799999952316284
dataset\2019-4-11-23-36-57 57291.jpeg,-0.9399999976158142
dataset\2019-4-11-23-36-57 93135.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 125017.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 161770.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 191907.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 228690.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 257990.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 293037.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 327701.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 358676.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 392311.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 458488.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 425689.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 495341.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 524219.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 557636.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 596751.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 626227.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 661868.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 693000.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 725845.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 755522.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 790812.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 828228.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 857243.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 889606.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 922501.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 957250.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-57 993736.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 26743.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 56824.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 96869.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 124924.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 161578.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 190342.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 225565.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 258158.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 290777.jpeg,-0.9800000190734863
dataset\2019-4-11-23-36-58 327596.jpeg,-0.9800000190734863
